Folder Name,Reviewer,"Content Fidelity Check (Yes = good, No = problem, complete Col D)","If no, list fidelity issues w/ page #:",Accessibility Issues
nc-911-board-meeting-agenda-aug-26-2022-685f9a31,Phoebe Simon,No,"Underlined content from PDF looks like linkable text on HTML but it is not. Footer showing up mid-page on HTML, extra numbers added to numbered list. Half of the TOC was put into a table the other half was not and numbering restarted from ""1"", italics replaced with ""**"",",
nc-911-board-minutes-september-30-2022-685f9a2b,Phoebe Simon,No,"Missing watermark throughout. The table on pg. 1 repeats three times, table on page 2 repeats three times as well. For text that was bolded ""**"" are used instead. Letters in numbered lists are replaced with circles. Numbered list starts back at ""1"" on pgs 3, 4. All tables repeateing multiple times as an embed. Number 8 in table went to an H1. Number lists are all messed up. Every table was put in the footer and repeats three times.",
nc-911-board-monthly-dispatch-march-2025-685f7179,Phoebe Simon,No,"Every page has an image, and all of the images are embedded and all content is repeating.",
nc-911-board-technology-committee-minutes-nov-4-2021-685fa41d,Will Segulin,No,"Table headers inside paragraph above table. (Pg. 1)
 Section headers for table eclosed by two asterisks. (Pg. 1)
 Image copy of table copied over twice in two different sizes below converted table. (Pg. 1)
 Bold text replaced by plaintext enclosed by 2 asterisks. (Pg. 2)
 First row of table incorrectly converted to table header for both tables on page. (Pg. 2)
 Image of entire page of document copied over in two different sizes below converted table. (Pg. 2)
 List items incorrectly numbered, duplicate numbering and a reset in order. (Pg. 3)
 First row of table incorrectly converted to table header. (Pg. 3)
 Image of entire page of document copied over in two different sizes below converted table. (Pg. 3)
 List items incorrectly numbered, duplicate numbering and a reset in order. (Pg. 4)
 Image of entire page of document copied over in two different sizes below converted table. (Pg. 4)","Markdown not interpreted as HTML.
 Lists not formatting correctly."
ncom-update-gicc-05-15-2014-68612fe6,Will Segulin,No,"Link should be below list. (Pg. 2)
 Link goes to a broken website, but so does the link on the original document. (Pg. 2)
 List hierarchy did not transfer. (Pg.3)
 Checkmark image from the end of list items on original document is placed at the bottom of the page. (Pg. 3)",Lists not formatting correctly.
near-perfect-powerpoint-slides-by-accessibility-experts-47b0,Will Segulin,No,"Background highlighting of headshot images transferred separately, alt text improperly attributed to background. (Pg. 1)
 Many extraneous asterisks. (global)
 Entire slides being transcribed after an entire image of the corresponding slide is pulled in. (global)
 Images missing and replaced by alt text commented (<!-->) into the html. (Pg. 7)
 Incorrect header hierarchy. (Pg. 12)
 Added links from example image, links were not originally clickable. (Pg. 17).
 Originally hyperlinked text enclosed in brackets then duplicated and enclosed in paretheses, links are then duplicated with more text than originally at the bottom of the page. (Pg. 18)
 Incorrect header hierarchy. (Pg. 19)
 Critical, Page 19 and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.
 Only part of image transferred over, image then duplicated later. (Pg. 19)
 Font styling examples not transferred. (Pg. 20, 21)
 Duplicate text used for purpose of example removed. (Pg. 22)
 Links not transferred over, placed separately at bottom of page. (Pg. 23)
 Alt text for image contains alt text for both images on the page. (Pg. 25, 26)
 Image duplicated on page, one image is color corrected and loses the gray scale effect. Only one has proper alt text and grascale is not mentioned. (Pg. 27)
 Underlined text improperly converted to hyperlink leading to nowhere. (Pg. 29)
 List numbering duplicated. (Pg. 34)
 Hyperlink in wrong spot, links to correct location but is named incorrectly. (Pg.43)
 Links duplicated, first set of links are broken, second set lead to correct place. (Pg. 44)
 Links duplicated. (Pg. 60)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Markdown not interpreted as HTML.
 Alt text issues. 
 Header issues. (global)"
near-perfect-powerpoint-slides-by-accessibility-experts-47b2,Will Segulin,No,"""Accessibility Items"" should not be h2. (Pg. 5).
 Critical, Page and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.
 ""Manually create form fields"" should not be h2. (Pg. 7).
 Images placed in wrong order. (Pg. 15)
 Highlights on image not transferred. (Pg. 16)
 Alt text just says ""Document image."" (Pg. 16)
 Duplicate image improperly removed, it is the same image of the keyboard as previous but has different keys highlighted to instruct. (Pg. 18)
 Alt text for images swapped. (Pg. 19)
 Duplicate image improperly removed, showcases steps required. (Pg. 20)
 Numerous improper asterisks. (Pg. 22, 23, 31)
 Link text duplicated and moved to bottom of page. (Pg. 24, 33, 34)
 Image highlights missing. (Pg.25, 27, 28)
 Duplicate image improperly removed, it is the same image of the keyboard as previous but has different keys highlighted to instruct. (Pg. 28)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Markdown not interpreted as HTML.
 Header issues. (global)
 Alt text issues."
newsletter-with-many-images-and-formatted-text-117c,Will Segulin,No,"Made text for link the alt text of embedded videos, link leads to youtube home page. Correct video links duplicated to bottom of page. (Pg. 2, 3, 19) 
 Transcribed imaged also copied over. (Pg. 4)
 Incorrect alt text. (Pg.5)
 Text content ordered incorrectly, does not match image context. (Pg. 5, 9)
 Extraneous asterisks added in place of bold text (Pg. 8)
 Images oriented incorrectly. (Pg. 9)
 Images transferred as just one cluster, alt text only matches one image. (Global)
 Missing images, alt text mixed up. (Pg. 11)
 Image alt text and captions mixed up. (Global)
 Image transcribed along with image. (Global)
 Background image image transferred over. (Pg, 21)
 Header hierarchy issue, all headers are the same. (Pg. 22)
 Links to embedded videos lead to youtube home page. (Pg. 26)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues.
 Markdown not interpreted as HTML.
 Header hierarchy issues."
newsletter-with-many-images-and-formatted-text-21fb,Will Segulin,No,"Initial links broken, links that lead to correct location duplicated to bottom of page. (Pg. 1, 2, 3)
 Paragraph break appears when link does, breaking text flow. (Pg. 1, 2, 3)
 Page break cuts text into multiple paragraps. (Pg. 2)
 Incorrect alt text on images. (Pg. 1)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues."
powerpoint-slides-1793,Will Segulin,No,"Incorrect alt text on images. (Pg. 2)
 Missing images. (Pg. 2)
 Image transcribed along with image. (Global)
 Hallucinated links. (Global)
 All UI in screenshots is being transcribed. (Global)
 Link text duplicated and moved to bottom of page. (Pg. 25)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues."
powerpoint-slides-f832,Will Segulin,No,"Extraneous asterisks added. (Pg. 3)
 Entire slide is being added instead of just one particular image. (Global)
 Sublist is an unorded list when it should be ordered, list numbering is duplicated. (Pg. 5, 17)
 Table headers not properly marked as headers. (Pg. 9)
 Duplicate list numbering. (25)
 First row incorrectly marked as header. (Pg. 28)
 Missing header. (Pg. 30)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues.
 Markdown not interpreted as HTML."
powerpoint-slides-fed0,Will Segulin,No,"See ""powerpoint-slides-f832"", same issues","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues.
 Markdown not interpreted as HTML."
powerpoint-slides-feef,Will Segulin,No,"See ""powerpoint-slides-f832"", same issues","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
 Alt text issues.
 Markdown not interpreted as HTML."
powerpoint-slides-fef1,Luke Ertzberger,No,"Critical, Page 9 and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.
 
 All pages: Put all the screenshots of background images into the HTML. Should have ignored
 
 Critical, Page 12 and others: Markdown not interpreted as HTML. Bold is written as **, etc.
 
 Critical, Page 20: Copilot Lab link literally has ""Copilot Lab"" as the href, which is a broken link. The original PDF had a real hyperlink set for that text.
 
 Critical, Page 21: All content from page 21, ""Questions"", is missing from the original PDF.","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
powerpoint-slides-fef5,Luke Ertzberger,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
powerpoint-slides-ff0a,Luke Ertzberger,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
powerpoint-slides-ff0c,Luke Ertzberger,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
powerpoint-slides-ff0d,Luke Ertzberger,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
scanned-from-paper-many-pages-of-tables-6878,Luke Ertzberger,No,"Critical, Page 6: Hallucinated the incorrect price for part ""185669"" - the original PDF says ""$3,000.00"" and the HTML says ""$1,500.00""
 
 The footers (e.g. Page 3 of 39 June 12, 2025) show up in the HTML when they should be cut out
 
 Critical, All Pages: Multiple times, the bold is rendered as ""**"" instead of <strong>
 
 Page 1: Broke up the 2nd row of the table into two wros instead of 1. for ""Part number"", ""Previous Price, and ""2025 Price"" should all be one row but it's split into two","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML (**), rows split content that should be together"
scio-physical-and-environmental-protection-686b1b84,Luke Ertzberger,No,"Page 1: Failed to bring over the seal of the state of NC logo and just put the alt text into the table instead of the image
 
 All Pages: The header was pulled over every time. It should just be pulled over once.
 
 Critical, Page 4: Letters f, g, etc. are all a bulleted list instead of a ordered list. 
 
 Critical, Page 5: letters a & b are missing. They should be an <ol> and instead are not marked
 
 All Pages: Bold is rendered as ** instead of <strong>","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
screenshot-images-11b5,Luke Ertzberger,No,"Critical, All Pages: Images are out of order compared to the original PDF. The text is correct but the images are in the wrong places in the HTML so the content doesn't make any sense.
 
 Page 3: Put a figtext on something that should have just been alt text",
seal-image-table-6870,Luke Ertzberger,No,"Critical, Page 1: Emails are hyperlinks in the original PDF but in the HTML they are outputted as markdown ([email](link))
 
 Critical, Page 2: Hyperlink ""CLICK HERE"" has an href of literally ""CLICK HERE"" instead of the real link from the original PDF. But then puts a 2nd link at another random place in the html, CLICK HERE, that does have the correct link.","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML (Page 1 for example)
 
 Page 3: First row of the table was made a table header instead of a normal table row
 
 Unneeded aria-lable on the table (I think)"
seal-imagery-11ab,Luke Ertzberger,No,"All pages: Paragraphs are split because of pages splits - shouldn't be split
 
 Critical, Page 3: Hallucinated a link, ""network"", to go to some random site. The word ""network"" isn't in the PDF.
 
 Critical, Page 2: Truncated/Hallucinated ToC
 
 Page 1: Put the image alt text and the image both in the HTML.
 
 Page 7-8: Word breaks are odd because of the page-by-page approach
 
 Critical, Page 51: Interpreted bold as markdown bold (**), which would read odd on a screen reader
 
 Page 52: Under ""Patch"", it used an <ol>, but then puts the text of the number (""1. "") in there as well
 
 Page 15, 48-49, 68: Hyperlinks aren't formatted as hyperlinks
 
 Critical, Page 28: ""Container-based Encryption"" and ""Full Disk Encryption"" are indented to be sub-points of ""Encryption"" in the PDF, the HTML flattens the full document","Full Accessibility Check not completed; only Luke's quick spot check
 
 Markdown not interpreted as HTML"
seal-imagery-table-with-shading-132c,Chris Brittingham,No,"Asterisks added where formatting used (page 2, 4, 9, 12, 21)
 
 Missing State Crest on all pages, showing alt text in the header rather than crest
 
 Links do not have a valid destination (page 7)
 
 Ordered list keeping numbers in text instead of replacing with letters and roman numberals (pages 3-14)
 
 Check blocks turned into a table and added an extra value field after all list items (pages 18-20)
 
 Signature block turned into table",
seal-imagery-table-with-shading-colored-text-672b,Chris Brittingham,No,"Global issue: Asterisks added where formatting used
 
 Email address populated twice in the table and then added a 3rd time under the table (page 2)
 
 Global issue: links duplicated at bottom of pages (starting at page 3)
 
 Global issue: Numbered lists adding additional numbers (starting on page 3)",
smac-lidar-apr-10-2024-6860db7b,Chris Brittingham,No,"Asterisks added where formatting used (page 3)
 
 Converted page 3 to text but still kept the image",
